areaname,population,total_income,medium_household_income,per_capita_income
Adams County,498187,19119527000,65442,38378
Alamosa County,16654,585294000,37057,35144
Arapahoe County,637068,34689868000,70866,54452
Archuleta County,12854,516046000,51998,40147
Baca County,3568,135352000,34070,37935
Bent County,5861,178236000,33951,30411
Boulder County,322226,20528122000,74772,63707
Broomfield County,66529,4865203000,86870,73129
Chaffee County,19058,759454000,49877,39850
Cheyenne County,1848,93550000,50558,50622
Clear Creek County,9436,513070000,68699,54374
Conejos County,8129,288002000,34390,35429
Costilla County,3721,120235000,27211,32313
Crowley County,5694,145321000,35873,25522
Custer County,4602,195437000,52021,42468
Delta County,30442,983836000,41798,32318
Denver County,693060,46612315000,61038,67256
Dolores County,2056,62899000,46791,30593
Douglas County,328632,22063919000,112399,67139
Eagle County,53989,3486688000,79556,64581
Elbert County,25231,1283373000,86693,50865
El Paso County,688284,30565961000,63610,44409
Fremont County,47446,1519031000,46372,32016
Garfield County,58887,3252159000,69161,55227
Gilpin County,5931,246143000,65472,41501
Grand County,15008,625317000,63875,41666
Gunnison County,16408,713313000,53753,43473
Hinsdale County,788,35192000,51717,44660
Huerfano County,6677,250398000,34626,37502
Jackson County,1357,61958000,46671,45658
Jefferson County,571837,32230590000,74342,56363
Kiowa County,1373,70289000,43951,51194
Kit Carson County,8195,272713000,48272,33278
Lake County,7618,255777000,49064,33575
La Plata County,55623,2843289000,58499,51117
Larimer County,339993,16019414000,66561,47117
Las Animas County,14103,522268000,38224,37032
Lincoln County,5643,176898000,42969,31348
Logan County,21919,1024269000,49407,46730
Mesa County,150083,5870880000,49825,39118
Mineral County,732,45725000,52641,62466
Moffat County,13109,514447000,54151,39244
Montezuma County,26999,1011949000,40679,37481
Montrose County,41471,1481110000,43285,35714
Morgan County,28274,1138884000,49129,40280
Otero County,18295,626984000,36773,34271
Ouray County,4857,247705000,66813,51000
Park County,17166,692527000,68535,40343
Phillips County,4288,183364000,49046,42762
Pitkin County,17752,2285355000,74576,128738
Prowers County,11922,462716000,40164,38812
Pueblo County,165123,5968790000,44644,36148
Rio Blanco County,6545,258413000,58980,39483
Rio Grande County,11479,479897000,41128,41807
Routt County,24648,1754119000,71322,71167
Saguache County,6389,223245000,33973,34942
San Juan County,694,34106000,44652,49144
San Miguel County,8017,608301000,67251,75876
Sedgwick County,2407,113770000,42518,47266
Summit County,30374,1773425000,70265,58386
Teller County,24043,1102342000,63966,45849
Washington County,4908,186986000,46304,38098
Weld County,294932,12593779000,63609,42701
Yuma County,10103,533792000,48963,52835