80002,20215
80003,98195
80004,62699
80005,68054
80007,12059
80010,26453
80011,124599
80012,81760
80013,141013
80014,97925
80015,103565
80016,114472
80017,51968
80018,11095
80019,3521
80020,105431
80021,84178
80022,85666
80023,32235
80024,453
80025,525
80026,70753
80027,65585
80030,23413
80031,91982
80033,50616
80045,455
80101,869
80102,14760
80103,4939
80104,31289
80105,2370
80106,10637
80107,19571
80108,57878
80109,30466
80110,45240
80111,74603
80112,49579
80113,43655
80116,6788
80117,7265
80118,8223
80120,48199
80121,21706
80122,61102
80123,53149
80124,40637
80125,23203
80126,101824
80127,117804
80128,86407
80129,45046
80130,50809
80131,482
80132,41275
80133,3461
80134,94413
80135,8285
80136,7884
80137,2244
80138,61896
80202,8432
80203,49917
80204,67597
80205,49581
80206,47110
80207,55888
80209,55053
80210,72494
80211,49403
80212,47969
80214,31885
80215,45618
80216,22691
80218,46300
80219,136772
80220,75723
80221,62809
80222,55584
80223,30513
80224,37026
80226,50018
80227,73394
80228,19589
80229,80149
80230,19575
80231,85242
80232,45824
80233,111224
80234,42283
80235,11366
80236,41533
80237,23396
80238,10976
80239,44911
80241,34803
80246,28415
80247,45961
80249,60460
80260,82493
80264,0
80290,0
80293,0
80294,0
80301,57512
80302,52804
80303,35311
80304,34405
80305,35913
80310,12263
80401,89316
80403,40354
80419,0
80420,1470
80421,21124
80422,7184
80423,435
80424,11156
80425,396
80426,284
80427,1390
80428,1907
80432,1146
80433,15796
80434,120
80435,11845
80436,864
80438,717
80439,37141
80440,2789
80442,4640
80443,5762
80444,2495
80446,5793
80447,5384
80448,441
80449,1092
80451,1982
80452,7592
80453,502
80454,1472
80455,791
80456,968
80457,1311
80459,2735
80461,7487
80463,152
80465,24724
80466,7229
80467,4851
80468,917
80469,744
80470,6846
80471,60
80473,119
80475,158
80476,208
80477,348
80478,2512
80479,124
80480,3395
80481,1353
80482,3320
80483,1519
80487,15373
80488,331
80497,518
80498,12507
80501,26146
80503,76516
80504,83773
80510,683
80511,208
80512,1347
80513,15523
80514,4731
80515,1210
80516,55976
80517,9856
80520,3028
80521,68704
80524,54095
80525,57862
80526,50661
80528,48440
80530,6105
80532,273
80534,29951
80535,2933
80536,1895
80537,80790
80538,71808
80540,13199
80542,7412
80543,16031
80544,298
80545,1490
80546,339
80547,1402
80549,3506
80550,24915
80601,90922
80602,19606
80603,21326
80610,6375
80611,1007
80612,1164
80615,19497
80620,21913
80621,14166
80622,560
80623,750
80624,2516
80631,53285
80634,90138
80640,24672
80642,4639
80643,5109
80644,4871
80645,8415
80648,615
80649,362
80650,1691
80651,10869
80652,1186
80653,925
80654,2713
80701,24647
80705,1494
80720,5362
80721,392
80722,267
80723,7151
80726,888
80727,1066
80728,1996
80729,1107
80731,3761
80733,582
80734,6278
80735,719
80736,951
80737,3086
80740,123
80741,515
80742,500
80743,1328
80744,1057
80745,170
80746,73
80747,563
80749,892
80750,429
80751,39700
80754,264
80755,437
80757,420
80758,7988
80759,12425
80801,399
80802,638
80804,785
80805,457
80807,12188
80808,16654
80809,828
80810,2959
80812,430
80813,4552
80814,8281
80815,2467
80816,14010
80817,32065
80818,402
80819,2371
80820,2148
80821,2491
80822,554
80823,540
80824,363
80825,638
80827,1515
80828,3494
80829,14288
80830,551
80831,47140
80832,1465
80833,1991
80834,724
80835,1474
80836,2888
80840,13350
80860,1251
80861,669
80862,56
80863,30571
80864,3003
80902,32777
80903,39472
80904,19948
80905,42804
80906,48968
80907,70593
80908,7289
80909,40755
80910,47110
80911,35585
80913,2316
80914,774
80915,20695
80916,92001
80917,75687
80918,119176
80919,40575
80920,78992
80921,23970
80922,65020
80923,67021
80924,12396
80925,15471
80926,1724
80927,635
80928,3125
80929,622
80930,1710
80938,43
80939,0
80951,8624
81001,80785
81003,16124
81004,44830
81005,53460
81006,18302
81007,34909
81008,15628
81019,2545
81020,2098
81021,21
81022,3483
81023,2607
81024,344
81025,2842
81027,333
81029,894
81030,433
81033,326
81036,2037
81038,710
81039,4147
81040,565
81041,1741
81043,141
81044,267
81045,185
81047,3506
81049,762
81050,15975
81052,19462
81054,10497
81055,2094
81057,923
81058,1466
81059,1783
81062,4106
81063,7602
81064,672
81067,7214
81069,3128
81071,949
81073,3049
81076,1160
81077,1144
81081,179
81082,25935
81084,221
81087,174
81089,7819
81090,1176
81091,1718
81092,1309
81101,11560
81120,4972
81121,614
81122,12645
81123,2022
81124,504
81125,9854
81126,636
81128,244
81129,169
81130,1104
81131,3185
81132,7144
81133,1811
81136,307
81137,13937
81138,121
81140,4228
81141,1974
81143,862
81144,15970
81146,1126
81147,30174
81148,431
81149,2198
81151,2528
81152,3648
81154,1066
81155,588
81201,24577
81210,147
81211,15064
81212,65487
81220,325
81221,717
81222,443
81223,3650
81224,7137
81225,2492
81226,23473
81227,27
81230,18039
81231,1714
81232,58
81233,2236
81235,1218
81236,2213
81237,185
81239,211
81240,11819
81241,175
81242,1741
81243,200
81244,889
81248,134
81251,365
81252,7870
81253,1081
81301,47615
81303,20787
81320,473
81321,22427
81323,7519
81324,3675
81325,248
81326,4446
81327,1363
81328,6438
81330,53
81331,1246
81332,730
81334,4123
81335,301
81401,60750
81403,22538
81410,2758
81411,111
81413,11609
81415,966
81416,8679
81418,4437
81419,6433
81422,1527
81423,3597
81424,2027
81425,9160
81426,390
81427,3025
81428,8341
81429,503
81430,1675
81431,791
81432,2812
81433,1758
81434,247
81435,7962
81501,26556
81503,25504
81504,31960
81505,26479
81506,24182
81507,33531
81520,35424
81521,24727
81522,302
81523,1325
81524,6210
81525,1831
81526,8590
81527,5498
81601,17768
81610,996
81611,21753
81612,55
81615,1603
81620,17489
81621,15400
81623,32088
81624,2573
81625,32086
81630,1946
81631,17751
81632,18022
81633,34
81635,15904
81637,20083
81638,191
81639,5719
81640,274
81641,8444
81642,98
81643,2115
81645,1600
81646,518
81647,7537
81648,7403
81649,496
81650,34174
81652,9837
81653,79
81654,1828
81655,78
81656,506
81657,13871